,PROJECT_ID,ANALYSIS_KEY,REVISION
count,67550,66711,67550
unique,31,66711,67550
top,org.apache:cocoon,AV4RFnujG0XxMwG_VB3n,afea23ab6acc6b5bb71d2909ed307a7752631b31
freq,10221,1,1
