,PROJECT_ID,ANALYSIS_KEY,REVISION
count,67550,66711,67550
unique,31,66711,67550
top,org.apache:cocoon,AV4RKgYAG0XxMwG_VCrr,859f0a597464f41d3d9baccbdf30b3288b81105f
freq,10221,1,1
