author,author_timezone,commit_message,n_commits,n_projects_c,complexity,cognitive_complexity,class_complexity,duplicated_blocks,duplicated_files,duplicated_lines_density,violations,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,open_issues,sqale_debt_ratio,code_smells,bugs,reliability_rating,vulnerabilities,security_rating,files,comment_lines_density,function_complexity,file_complexity,effort_to_reach_maintainability_rating_a,new_sqale_debt_ratio,security_remediation_effort,reliability_remediation_effort,error,ok,warn,n_measures,n_projects_m,effort,message,blocker,critical,info,major,minor,issue_code_length,n_issues,n_projects_i
Donald J. Brown,0.0,252.12,75,2,974.2173913043479,638.6086956521739,16.013043478260876,160.0,10.217391304347826,11.5,363.5217391304348,0.0,38.17391304347826,180.08695652173913,130.95652173913044,14.304347826086957,363.5217391304348,4.926086956521741,343.39130434782606,14.391304347826088,4.0,5.739130434782608,2.9130434782608696,52.52173913043478,29.40869565217391,1.6869565217391302,18.443478260869565,34.08695652173913,4.8813894758136795,133.91304347826087,431.30434782608694,23.0,0,0,23,2,27.8,800.0,0.0,0.0,0.0,8.0,7.0,0.0,15.0,1.0
Duncan Jones,0.0,156.0,2,1,853.0,530.0,17.1,35.0,9.0,5.8,477.0,0.0,46.0,283.0,128.0,20.0,477.0,4.0,474.0,1.0,4.0,2.0,4.0,47.0,21.6,1.7,18.1,0.0,4.22829671865392,60.0,30.0,1.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edward Capriolo,0.0,220.22471910112358,534,1,73455.38,61417.78,19.215999999999987,3535.56,381.4,16.5,30248.46,208.18,1372.14,11010.84,16961.1,696.2,30248.46,3.2500000000000027,29069.22,638.5,5.0,540.74,4.0,1862.94,10.040000000000001,2.3440000000000016,39.14399999999998,0.0,3.10094846704565,6474.9,11835.62,50.0,0,0,50,1,52.48509090909091,114128.0,9.0,64.0,0.0,741.0,561.0,0.112,1375.0,1.0
Edwin L. Punzalan,0.0,198.50783699059562,957,1,1208.1885714285713,921.7771428571428,11.343428571428577,83.92,12.674285714285714,12.192000000000013,661.9828571428571,0.11428571428571428,43.92,309.33142857142855,250.69142857142856,57.925714285714285,661.9828571428571,3.130285714285714,649.9371428571428,4.0,1.68,8.045714285714286,3.2285714285714286,131.94857142857143,17.31657142857141,1.7657142857142827,12.351428571428563,0.0,2.918059956424672,120.62857142857143,27.125714285714285,175.0,0,0,175,1,18.709371293001187,51571.0,1.0,66.0,0.0,408.0,368.0,0.002372479240806643,843.0,1.0
Eitan Adler,7.0,51.0,2,1,2371.0,1530.0,14.7,241.0,42.0,7.1,1392.0,0.0,78.0,575.0,693.0,46.0,1392.0,2.9,1185.0,164.0,4.0,43.0,3.0,188.0,33.0,1.8,15.4,0.0,10.958904109589,1290.0,557.0,1.0,0,0,1,1,90.0,24.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0
Elijah Zupancic,0.0,204.5,2,1,2953.0,1731.0,8.7,318.0,94.0,22.4,1228.0,28.0,85.0,637.0,472.0,6.0,1228.0,4.3,1197.0,20.0,5.0,11.0,4.0,319.0,30.5,1.5,9.3,0.0,4.17449211317744,110.0,330.0,2.0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Bourg,0.0,225.48180379746836,2528,13,3232.0475319926873,2306.270566727605,15.470201096892124,205.6508226691042,50.901279707495426,14.105484460694688,1338.308957952468,25.844606946983546,134.15539305301644,552.892138939671,600.7568555758684,24.659963436928702,1338.308957952468,3.503290676416826,1287.0073126142595,22.30164533820841,4.093235831809872,29.0,3.829981718464351,160.79524680073126,23.095246800731214,1.7127970749542931,19.98336380255942,759.1224862888482,3.582978199241297,339.91773308957954,266.74223034734916,547.0,0,0,547,13,14.669719827586206,265302.0,4.0,239.0,21.0,1456.0,1992.0,0.07165948275862069,3712.0,7.0
Emmanuel Venisse,0.0,158.1679389312977,131,1,3784.32,1745.7866666666666,10.745333333333337,200.46666666666667,24.72,7.774666666666668,2061.4666666666667,0.52,101.21333333333334,788.1866666666666,999.4133333333333,172.13333333333333,2061.4666666666667,3.12933333333333,2002.32,44.56,3.5733333333333333,14.586666666666666,3.7866666666666666,352.2,17.312000000000022,1.817333333333334,18.19333333333333,0.0,2.2536686258121916,350.1333333333333,265.41333333333336,75.0,0,0,75,1,12.736842105263158,1118.0,0.0,3.0,0.0,9.0,7.0,0.05263157894736842,19.0,1.0
Enver Haase,0.0,241.16304347826087,92,1,6389.3877551020405,4629.34693877551,16.561224489795915,837.2244897959183,204.91836734693877,48.64285714285717,3604.326530612245,34.48979591836735,178.69387755102042,1522.530612244898,1814.591836734694,54.02040816326531,3604.326530612245,6.644897959183671,3473.9795918367345,70.93877551020408,5.0,59.40816326530612,4.0,368.44897959183675,48.11632653061222,2.0,17.477551020408157,12077.938775510203,6.428211920328508,755.3061224489796,690.9795918367347,49.0,0,0,49,1,7.428571428571429,3567.0,0.0,2.0,1.0,30.0,23.0,0.0,56.0,1.0
Eric N. Hanson,0.0,195.64864864864865,148,1,110397.33333333333,90603.72222222222,17.444444444444446,5963.777777777777,868.3333333333334,20.605555555555554,44824.833333333336,261.94444444444446,2059.5,17012.333333333332,24372.38888888889,1118.6666666666667,44824.833333333336,3.200000000000001,43141.055555555555,857.2222222222222,5.0,826.5555555555555,4.0,2905.5555555555557,9.82222222222222,2.2999999999999994,37.983333333333334,0.0,3.1170075474497962,10482.5,16077.722222222223,18.0,0,0,18,1,24.924050632911392,4670.0,0.0,8.0,0.0,40.0,31.0,0.0759493670886076,79.0,1.0
Erik Abele,0.0,244.625,16,2,3739.733333333333,2795.0,10.440000000000001,338.4,65.6,9.406666666666668,1537.2,2.2,317.8,667.6,544.2,5.4,1537.2,3.88,1491.0,2.4,2.6,43.8,4.0,322.73333333333335,18.959999999999997,1.6999999999999995,11.440000000000001,0.0,3.853243388146827,1045.0,20.8,15.0,0,0,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ernesto S. Tolentino Jr,0.0,164.5,2,1,1393.0,1352.0,11.7,109.0,19.0,11.1,708.0,0.0,70.0,368.0,203.0,67.0,708.0,2.6,677.0,0.0,1.0,31.0,4.0,161.0,18.4,1.8,12.1,0.0,2.56053045773994,445.0,0.0,2.0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabrizio Giustina,0.0,179.0,1,1,2292.0,1748.0,10.6,201.0,24.0,9.8,1468.0,0.0,103.0,577.0,629.0,159.0,1468.0,3.7,1462.0,0.0,1.0,6.0,3.0,312.0,15.9,1.6,12.1,0.0,2.5977110775210495,180.0,0.0,1.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe Leme,0.0,236.77777777777777,27,1,5484.0,3987.0,9.6,76.0,57.0,4.4111111111111105,2077.0,6.0,113.0,1243.0,691.0,24.0,2077.0,4.6000000000000005,2052.0,13.0,4.0,12.0,4.0,541.0,25.0,1.5999999999999999,10.1,0.0,4.46690830091223,140.0,190.0,9.0,0,0,9,1,2.75,368.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0
Flavio Paiva Junqueira,0.0,193.54030501089323,459,1,9472.285714285714,8469.142857142857,12.514285714285716,321.2142857142857,100.14285714285714,5.378571428571428,4788.785714285715,17.5,517.0714285714286,2069.3571428571427,2113.0,71.85714285714286,4788.785714285715,3.100000000000001,4329.142857142857,32.285714285714285,5.0,427.35714285714283,4.0,450.2857142857143,13.271428571428569,2.1000000000000005,21.257142857142856,0.0,2.5324288232698398,10427.5,176.92857142857142,14.0,0,0,14,1,4.0,757.0,0.0,1.0,0.0,1.0,9.0,0.0,11.0,1.0
Francesco Furfari,0.0,281.13861386138615,707,1,8577.58064516129,9292.774193548386,14.280645161290316,197.5483870967742,83.87096774193549,6.738709677419357,5173.1612903225805,33.32258064516129,416.03225806451616,2334.2258064516127,2181.8064516129034,207.7741935483871,5173.1612903225805,3.774193548387095,5039.903225806452,46.806451612903224,5.0,86.45161290322581,4.0,594.516129032258,32.312903225806465,2.1322580645161304,15.780645161290314,0.0,3.7540620846555814,915.8064516129032,802.258064516129,31.0,0,0,31,1,19.428571428571427,4505.0,0.0,2.0,0.0,47.0,35.0,0.0,84.0,1.0
Francois-Xavier Bonnet,0.0,214.9156626506024,83,2,8677.76923076923,5836.461538461538,11.592307692307688,653.3076923076923,125.23076923076923,9.676923076923076,3829.3846153846152,6.846153846153846,359.9230769230769,1988.076923076923,1240.3846153846155,234.15384615384616,3829.3846153846152,3.8999999999999995,3747.923076923077,10.461538461538462,4.0,71.0,4.0,665.3076923076923,13.676923076923078,1.6076923076923075,13.05384615384615,0.0,3.841056167114929,1889.2307692307693,155.15384615384616,13.0,0,0,13,2,26.357142857142858,602.0,0.0,1.0,2.0,8.0,3.0,0.0,14.0,1.0
Gang Tim Liu,0.0,197.07692307692307,52,1,91970.57142857143,75382.42857142857,16.97142857142857,5580.571428571428,793.1428571428571,23.542857142857144,38754.42857142857,250.71428571428572,1812.5714285714287,14110.0,21648.285714285714,932.8571428571429,38754.42857142857,3.1999999999999997,37275.71428571428,757.5714285714286,5.0,721.1428571428571,4.0,2411.1428571428573,9.842857142857142,2.3000000000000003,38.57142857142857,0.0,3.0791336033365444,8609.285714285714,14583.142857142857,7.0,0,0,7,1,17.691176470588236,14817.0,2.0,9.0,0.0,98.0,95.0,0.00980392156862745,204.0,1.0
Gary D. Gregory,0.0,250.31838538245657,16747,22,3999.1807580174927,2669.481924198251,15.82623906705555,220.35481049562682,49.510495626822156,9.018134110787194,1627.6230320699708,14.959183673469388,202.2134110787172,785.1644314868805,574.5693877551021,50.71661807580175,1627.6230320699708,3.267492711370274,1589.8516034985423,17.81195335276968,3.770845481049563,19.95947521865889,3.262390670553936,261.16967930029153,23.516122448979573,1.7590962099125613,17.842448979592078,251.8072886297376,3.0155465414057767,360.2886297376093,230.47230320699708,3430.0,0,0,3430,22,18.06003937007874,59779.0,4.0,61.0,18.0,493.0,440.0,0.006889763779527559,1016.0,16.0
Geir Magnusson Jr,0.0,188.16346153846155,208,5,1734.5696202531647,2124.4177215189875,30.170886075949362,109.0379746835443,9.341772151898734,11.36708860759494,1385.506329113924,33.050632911392405,41.607594936708864,533.7088607594936,775.5696202531645,1.5696202531645569,1385.506329113924,6.63164556962025,1281.7721518987341,88.55696202531645,3.2658227848101267,15.177215189873417,3.6582278481012658,56.63291139240506,14.300000000000011,3.369620253164553,31.550632911392416,4273.886075949367,3.9849874751388197,165.8227848101266,210.27848101265823,79.0,0,0,79,5,16.28787878787879,12844.0,1.0,6.0,0.0,112.0,79.0,0.13636363636363635,198.0,2.0
Glenn L. Nielsen,0.0,576.0,40,1,1120.1176470588234,473.4117647058824,26.429411764705886,98.52941176470588,28.11764705882353,30.782352941176473,649.5882352941177,3.176470588235294,85.41176470588235,186.35294117647058,369.0,5.647058823529412,649.5882352941177,5.735294117647059,633.8823529411765,5.823529411764706,4.0,9.882352941176471,4.0,38.35294117647059,30.029411764705884,1.2705882352941176,28.941176470588243,905.4117647058823,3.695358926866194,132.35294117647058,55.0,17.0,0,0,17,1,17.652173913043477,1113.0,0.0,6.0,1.0,7.0,9.0,0.0,23.0,1.0
Gopal Vijayaraghavan,0.0,175.73333333333332,15,1,124943.33333333333,103411.0,17.5,6636.333333333333,717.3333333333334,15.433333333333332,49646.666666666664,266.0,2276.3333333333335,18090.0,28086.0,928.3333333333334,49646.666666666664,3.2000000000000006,47864.0,949.0,5.0,833.6666666666666,4.0,3080.6666666666665,9.5,2.3,40.56666666666666,0.0,3.065860377366223,10751.666666666666,18549.0,3.0,0,0,3,1,10.661016949152541,8725.0,1.0,4.0,1.0,65.0,47.0,0.15254237288135594,118.0,1.0
Gunther Hagleitner,0.0,201.85253980288098,2638,1,106959.21538461538,87945.70384615385,17.315769230769252,5654.873076923077,777.6961538461538,19.496153846153803,43526.49615384615,261.33076923076925,1981.9423076923076,16296.065384615385,23923.8,1063.3576923076923,43526.49615384615,3.2307692307692246,41900.89615384615,834.223076923077,5.0,791.376923076923,4.0,2789.8846153846152,9.775384615384608,2.3000000000000003,38.35846153846162,0.0,3.126225421144814,9916.48076923077,15873.561538461538,260.0,0,0,260,1,19.080429263789522,670295.0,56.0,357.0,15.0,4180.0,4058.0,0.045580429263789524,8666.0,1.0
Hans Gilde,0.0,167.0,16,1,5330.583333333333,3865.0833333333335,9.491666666666669,77.0,58.0,4.783333333333332,2033.5833333333333,6.0,106.16666666666667,1215.5833333333333,680.8333333333334,25.0,2033.5833333333333,4.666666666666667,2013.25,9.0,4.0,11.333333333333334,4.0,533.8333333333334,25.05,1.5999999999999999,10.000000000000002,0.0,4.477115764354778,133.33333333333334,170.0,12.0,0,0,12,1,2.4,338.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,1.0
Harish Butani,0.0,210.9891304347826,736,1,120564.1875,98985.0,17.443749999999994,6803.145833333333,880.25,19.29791666666667,48749.583333333336,268.2916666666667,2240.6875,18010.520833333332,27129.270833333332,1100.8125,48749.583333333336,3.204166666666667,46956.4375,921.7291666666666,5.0,871.4166666666666,4.0,3051.6041666666665,9.643749999999999,2.299999999999998,39.47708333333333,0.0,3.111828465070626,11186.770833333334,17973.3125,48.0,0,0,48,1,14.939655172413794,8456.0,0.0,4.0,1.0,73.0,38.0,0.2413793103448276,116.0,1.0
Henning Schmiedehausen,0.0,380.1666666666667,84,2,2266.4444444444443,1698.8333333333333,14.436111111111112,45.02777777777778,13.944444444444445,6.374999999999999,836.0555555555555,45.80555555555556,72.94444444444444,446.1111111111111,242.83333333333334,28.36111111111111,836.0555555555555,3.2194444444444454,820.0833333333334,9.472222222222221,4.722222222222222,6.5,4.0,145.5,21.40833333333333,1.6000000000000014,18.152777777777775,0.0,3.503299988679445,80.27777777777777,149.44444444444446,36.0,0,0,36,2,19.23913043478261,2753.0,2.0,4.0,2.0,23.0,15.0,0.0,46.0,1.0
