author,author_timezone,commit_message,n_commits,n_projects_c,complexity,cognitive_complexity,class_complexity,duplicated_blocks,duplicated_files,duplicated_lines_density,violations,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,open_issues,sqale_debt_ratio,code_smells,bugs,reliability_rating,vulnerabilities,security_rating,files,comment_lines_density,function_complexity,file_complexity,effort_to_reach_maintainability_rating_a,new_sqale_debt_ratio,security_remediation_effort,reliability_remediation_effort,error,ok,warn,n_measures,n_projects_m,effort,message,blocker,critical,info,major,minor,issue_code_length,n_issues,n_projects_i
Jason Dere,0.0,204.0,51,1,125561.81818181818,103301.36363636363,17.472727272727273,7082.818181818182,851.9090909090909,17.936363636363637,50446.09090909091,269.3636363636364,2323.2727272727275,18437.090909090908,28364.81818181818,1051.5454545454545,50446.09090909091,3.1999999999999997,48607.63636363636,955.0909090909091,5.0,883.3636363636364,4.0,3121.5454545454545,9.554545454545453,2.3000000000000003,40.21818181818181,0.0,3.0930651802692206,11410.90909090909,18831.454545454544,11.0,0,0,11,1,20.142857142857142,452.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,1.0
Jason van Zyl,0.0,179.17884615384617,1040,13,3460.2935323383085,2018.4975124378109,13.062189054726376,240.61194029850745,46.65174129353234,14.676616915422892,2095.5174129353236,7.781094527363184,103.90547263681592,793.9751243781094,1072.4726368159204,117.38308457711443,2095.5174129353236,4.056218905472639,2050.049751243781,28.139303482587064,3.3383084577114426,17.328358208955223,3.711442786069652,274.363184079602,22.270149253731358,1.8721393034825855,18.56716417910448,1631.3880597014925,3.223949596105511,323.8059701492537,226.46766169154228,201.0,0,0,201,13,18.526479750778815,21703.0,2.0,27.0,1.0,170.0,121.0,0.028037383177570093,321.0,4.0
Jean-Frederic Clere,0.0,180.04724409448818,254,2,185.22448979591837,153.77551020408163,10.374149659863933,20.53061224489796,8.612244897959183,67.34965986394565,245.12925170068027,5.7687074829931975,32.605442176870746,132.41496598639455,74.34013605442176,0.0,245.12925170068027,7.743537414965969,238.3877551020408,5.081632653061225,4.0,1.6598639455782314,1.0408163265306123,13.673469387755102,24.48639455782317,1.7285714285714304,13.780952380952368,842.9591836734694,8.510394163022385,22.448979591836736,97.68707482993197,147.0,0,0,147,2,43.416666666666664,555.0,0.0,2.0,0.0,5.0,5.0,0.0,12.0,1.0
Jeff Turner,0.0,200.03937007874015,127,6,1759.090909090909,1330.6363636363637,16.11818181818182,103.9090909090909,46.18181818181818,23.3,1077.1818181818182,30.818181818181817,139.0,426.09090909090907,470.8181818181818,10.454545454545455,1077.1818181818182,5.327272727272727,1065.4545454545455,4.363636363636363,3.090909090909091,7.363636363636363,3.1818181818181817,133.0909090909091,26.009090909090904,1.6090909090909091,18.21818181818182,1164.2727272727273,5.06575112171716,89.0909090909091,82.72727272727273,11.0,0,0,11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeffrey Brekke,0.0,356.1630434782609,920,1,1803.641304347826,1428.5326086956522,12.510869565217387,71.78260869565217,48.69565217391305,15.77934782608696,1335.445652173913,0.13043478260869565,181.31521739130434,699.4021739130435,452.79347826086956,1.8043478260869565,1335.445652173913,4.688043478260872,1206.9673913043478,1.3478260869565217,4.0,127.1304347826087,4.0,143.68478260869566,57.16739130434787,1.8043478260869572,12.539130434782605,644.4891304347826,5.427599897547317,1740.9782608695652,32.01086956521739,92.0,0,0,92,1,16.837988826815643,38553.0,0.0,59.0,3.0,302.0,173.0,0.0,537.0,1.0
Jeremias Maerki,0.0,212.703125,192,2,947.7325581395348,529.1279069767442,15.075581395348829,19.069767441860463,6.569767441860465,8.34418604651164,506.36046511627904,2.63953488372093,90.24418604651163,230.8953488372093,151.04651162790697,31.53488372093023,506.36046511627904,3.2662790697674424,459.59302325581393,44.03488372093023,4.0,2.7325581395348837,4.0,60.06976744186046,29.5546511627907,1.5686046511627878,15.668604651162788,0.0,3.231725713109129,28.023255813953487,266.6279069767442,86.0,0,0,86,1,18.48507462686567,7303.0,2.0,8.0,4.0,67.0,53.0,0.0,134.0,1.0
Jesse McConnell,0.0,291.88607594936707,237,1,2844.4210526315787,1695.4561403508771,10.722807017543856,197.91228070175438,24.157894736842106,8.866666666666667,1632.8070175438597,0.5263157894736842,103.3859649122807,647.6842105263158,731.8947368421053,149.31578947368422,1632.8070175438597,3.5473684210526333,1604.1052631578948,17.789473684210527,2.0701754385964914,10.912280701754385,3.2982456140350878,326.1578947368421,16.759649122807012,1.6964912280701754,14.21228070175439,0.0,2.508656256156008,260.0,103.85964912280701,57.0,0,0,57,1,15.577235772357724,7319.0,0.0,12.0,0.0,39.0,72.0,0.0,123.0,1.0
Jianyong Dai,0.0,180.875,96,1,99912.5,82121.13636363637,17.318181818181817,5143.136363636364,659.3636363636364,18.563636363636366,40768.63636363636,252.1818181818182,1823.9545454545455,15059.818181818182,22638.0,994.6818181818181,40768.63636363636,3.2181818181818187,39243.545454545456,794.5454545454545,5.0,730.5454545454545,4.0,2566.3636363636365,9.704545454545451,2.299999999999999,39.08181818181818,0.0,3.1148884561216126,9000.227272727272,15110.681818181818,22.0,0,0,22,1,37.58997050147492,52222.0,9.0,31.0,1.0,391.0,246.0,0.09587020648967552,678.0,1.0
Jim Jagielski,0.0,179.0,8,1,645.5,386.5,13.674999999999999,6.5,3.0,1.6749999999999998,331.5,0.0,44.25,158.25,117.0,12.0,331.5,3.1,312.0,9.0,4.0,10.5,4.0,44.25,22.15,1.6,14.575,0.0,3.252735434522058,145.0,270.0,4.0,0,0,4,1,8.666666666666666,733.0,0.0,2.0,0.0,6.0,4.0,0.0,12.0,1.0
Jitendra Nath Pandey,0.0,193.48828125,256,1,121307.66666666667,99540.5925925926,17.500000000000004,6877.777777777777,927.1851851851852,19.86296296296296,49054.07407407407,269.0,2259.8518518518517,18246.666666666668,27140.222222222223,1138.3333333333333,49054.07407407407,3.200000000000001,47245.92592592593,925.7777777777778,5.0,882.3703703703703,4.0,3094.925925925926,9.681481481481482,2.299999999999999,39.17777777777777,0.0,3.1205255326142503,11359.074074074075,17907.185185185186,27.0,0,0,27,1,11.095477386934673,13538.0,0.0,7.0,0.0,94.0,98.0,0.04020100502512563,199.0,1.0
Joakim Erdfelt,0.0,294.09472259810553,739,1,3863.725490196078,1755.235294117647,10.5156862745098,202.6078431372549,26.431372549019606,7.713725490196078,2113.078431372549,1.0,104.84313725490196,811.9215686274509,1022.0392156862745,173.27450980392157,2113.078431372549,3.1549019607843114,2054.6666666666665,41.21568627450981,3.7450980392156863,17.19607843137255,3.803921568627451,364.70588235294116,17.443137254901966,1.807843137254901,17.85686274509804,0.0,2.2841655074385216,377.6470588235294,258.27450980392155,51.0,0,0,51,1,16.10594315245478,24590.0,2.0,18.0,1.0,188.0,178.0,11.304909560723514,387.0,1.0
Jochen Wiedmann,0.0,209.8653846153846,364,4,1102.7916666666667,685.8666666666667,11.364999999999988,125.33333333333333,31.641666666666666,62.72916666666664,505.23333333333335,2.825,78.00833333333334,194.54166666666666,164.275,65.58333333333333,505.23333333333335,4.332500000000002,494.44166666666666,9.983333333333333,4.0,0.8083333333333333,1.325,64.90833333333333,35.10916666666669,1.5041666666666669,15.310833333333319,0.0,4.202758306116642,11.708333333333334,173.39166666666668,120.0,0,0,120,4,16.53921568627451,6077.0,3.0,12.0,1.0,54.0,32.0,0.0,102.0,3.0
Joerg Schaible,0.0,195.8153846153846,195,8,4411.4625,2946.3875,14.236249999999993,117.1625,36.7875,10.340000000000003,1627.5125,10.675,187.3375,853.1875,509.2625,67.05,1627.5125,2.9062499999999982,1593.175,15.8,4.85,18.5375,3.9625,295.675,20.628750000000004,1.5487500000000005,16.953749999999985,34.3125,2.7552840615960665,261.8125,256.325,80.0,0,0,80,8,22.714285714285715,2946.0,0.0,6.0,1.0,23.0,19.0,0.0,49.0,2.0
Johan Oskarsson,0.0,208.40816326530611,49,1,15258.8,13189.6,16.419999999999998,1129.0,79.6,14.62,9031.6,113.8,371.4,3620.0,4081.4,845.0,9031.6,4.460000000000001,8397.8,257.4,5.0,376.4,4.0,603.0,13.62,2.2600000000000002,25.419999999999998,0.0,4.0930013079464,4009.0,1920.4,5.0,0,0,5,1,33.01526717557252,9307.0,0.0,8.0,0.0,52.0,71.0,0.11450381679389313,131.0,1.0
John Dennis Casey,0.0,385.0,1,1,2069.0,1392.0,11.1,167.0,18.0,9.7,1282.0,0.0,96.0,493.0,587.0,106.0,1282.0,3.9,1276.0,0.0,1.0,6.0,3.0,267.0,15.7,1.5,12.6,0.0,2.8163059889280295,180.0,0.0,1.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Keyes,0.0,175.4832904884319,389,1,1006.6936936936937,702.0360360360361,13.662162162162167,75.13513513513513,30.72972972972973,21.016216216216197,500.54954954954957,0.0,44.027027027027025,270.76576576576576,176.55855855855856,9.198198198198199,500.54954954954957,4.223423423423424,494.4144144144144,0.8018018018018018,2.6036036036036037,5.333333333333333,3.1981981981981984,68.1981981981982,20.310810810810803,1.6639639639639647,14.399999999999993,87.1891891891892,3.2214663329542406,55.13513513513514,16.036036036036037,111.0,0,0,111,1,18.05596107055961,26182.0,0.0,29.0,1.0,201.0,180.0,0.05596107055961071,411.0,1.0
John McNally,0.0,314.20652173913044,92,2,1013.4782608695652,544.2608695652174,22.630434782608695,98.3913043478261,25.782608695652176,36.93913043478261,506.4347826086956,4.695652173913044,66.95652173913044,166.69565217391303,254.65217391304347,13.434782608695652,506.4347826086956,4.030434782608695,490.0869565217391,8.217391304347826,4.0,8.130434782608695,2.6956521739130435,33.34782608695652,34.1304347826087,1.539130434782608,26.699999999999992,47.130434782608695,2.292580319697026,111.30434782608695,129.56521739130434,23.0,0,0,23,2,16.296610169491526,7067.0,1.0,21.0,0.0,49.0,47.0,0.07627118644067797,118.0,1.0
John Sichi,0.0,424.5106934543098,3086,1,39216.70718232044,34212.89502762431,20.286740331491725,1858.1602209944751,192.18232044198896,15.061325966850829,16428.50276243094,178.32596685082873,779.1491712707183,6725.546961325967,8268.276243093922,477.2044198895028,16428.50276243094,3.458011049723762,15623.486187845303,441.21546961325964,5.0,363.8011049723757,4.0,1137.243093922652,11.66022099447512,2.399999999999993,34.113812154696156,0.0,3.1393576044578273,4238.618784530387,6630.812154696133,181.0,0,0,181,1,14.465587044534413,31963.0,5.0,26.0,1.0,198.0,264.0,0.145748987854251,494.0,1.0
Jonathan Moore,0.0,367.1,320,1,6664.785046728972,4601.747663551402,11.50280373831776,498.33644859813086,80.04672897196262,7.712149532710295,3086.504672897196,11.271028037383177,335.32710280373834,1539.4299065420562,1097.1869158878505,103.28971962616822,3086.504672897196,3.8102803738317754,3005.495327102804,7.5233644859813085,4.0,73.48598130841121,4.0,495.5233644859813,15.620560747663571,1.6962616822429888,13.445794392523363,0.0,3.782416464760937,1881.728971962617,69.74766355140187,107.0,0,0,107,1,12.141843971631205,9155.0,0.0,12.0,4.0,73.0,52.0,0.014184397163120567,141.0,1.0
Josh Elser,0.0,180.0,39,2,4629.538461538462,2929.846153846154,10.900000000000004,58.0,21.0,1.8999999999999997,1288.2307692307693,5.0,133.07692307692307,811.1538461538462,251.0,88.0,1288.2307692307693,2.5076923076923077,1265.1538461538462,9.0,5.0,14.076923076923077,4.0,373.0,20.199999999999996,1.5,12.400000000000004,0.0,2.400397432698395,181.15384615384616,155.0,13.0,0,0,13,1,47.5,51.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0
Joydeep Sensarma,0.0,183.95454545454547,110,1,28919.722222222223,25099.277777777777,18.866666666666667,1502.7222222222222,142.22222222222223,14.966666666666665,13056.888888888889,161.77777777777777,624.3888888888889,5304.055555555556,6373.777777777777,592.8888888888889,13056.888888888889,3.777777777777777,12339.111111111111,355.72222222222223,5.0,362.05555555555554,4.0,904.4444444444445,12.383333333333333,2.3611111111111103,30.977777777777774,0.0,3.4430958876621034,4080.8333333333335,4563.388888888889,18.0,0,0,18,1,17.285714285714285,3319.0,1.0,4.0,0.0,27.0,24.0,0.0,56.0,1.0
Jukka Zitting,0.0,267.23809523809524,42,1,2643.1428571428573,1683.0,14.949999999999998,155.07142857142858,28.714285714285715,6.1571428571428575,1166.9285714285713,3.7142857142857144,321.35714285714283,431.7857142857143,390.07142857142856,20.0,1166.9285714285713,3.2357142857142853,1129.2142857142858,33.642857142857146,4.0,4.071428571428571,4.0,158.71428571428572,31.47857142857143,1.5714285714285716,16.678571428571427,0.0,3.2190524336857957,40.714285714285715,351.07142857142856,14.0,0,0,14,1,7.5,104.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0
Julian Sedding,0.0,225.82608695652175,23,1,7355.285714285715,4683.142857142857,11.299999999999999,469.85714285714283,78.57142857142857,8.357142857142858,2979.1428571428573,7.0,234.14285714285714,1611.857142857143,1119.142857142857,7.0,2979.1428571428573,3.5,2908.1428571428573,11.0,4.0,60.0,4.0,571.5714285714286,11.0,1.5999999999999999,12.900000000000002,0.0,3.5122043390488082,1490.0,166.0,7.0,0,0,7,1,12.928571428571429,953.0,0.0,1.0,0.0,9.0,4.0,0.0,14.0,1.0
Julius Davies,0.0,189.57692307692307,26,1,1720.0833333333333,1275.9166666666667,21.891666666666666,70.16666666666667,13.083333333333334,6.699999999999999,707.5833333333334,0.0,68.83333333333333,372.0833333333333,251.66666666666666,15.0,707.5833333333334,2.6833333333333336,705.25,1.0,3.0,1.3333333333333333,3.0,74.08333333333333,23.84166666666667,1.9749999999999999,23.716666666666665,0.0,2.3821899816661216,20.0,2.0,12.0,0,0,12,1,24.82608695652174,1438.0,0.0,2.0,0.0,13.0,8.0,0.0,23.0,1.0
Karl Pauls,0.0,174.91216557294297,3962,1,10558.857142857143,11430.085714285715,14.374285714285719,261.1142857142857,114.68571428571428,7.945714285714285,6621.685714285714,37.114285714285714,551.8857142857142,2930.057142857143,2862.8,239.82857142857142,6621.685714285714,3.765714285714287,6429.028571428571,54.77142857142857,5.0,137.88571428571427,4.0,733.8,30.405714285714286,2.154285714285714,15.908571428571436,0.0,3.74156734012546,1589.0,937.2857142857143,35.0,0,0,35,1,24.774193548387096,9220.0,1.0,14.0,0.0,82.0,58.0,0.012903225806451613,155.0,1.0
Karl Wright,0.0,191.58823529411765,51,1,8329.722222222223,5626.611111111111,11.711111111111114,564.1111111111111,96.5,7.3999999999999995,3793.9444444444443,6.722222222222222,349.6111111111111,1917.388888888889,1304.7222222222222,215.5,3793.9444444444443,3.872222222222222,3709.3888888888887,9.5,4.0,75.05555555555556,4.0,623.3888888888889,13.711111111111107,1.6277777777777775,13.377777777777775,0.0,3.829629180070055,2021.111111111111,134.22222222222223,18.0,0,0,18,1,12.72,1444.0,0.0,1.0,0.0,12.0,12.0,0.0,25.0,1.0
Kenney Westerhof,0.0,272.0,3,1,2579.3333333333335,1400.6666666666667,10.166666666666668,155.66666666666666,19.333333333333332,8.8,1676.3333333333333,0.0,86.66666666666667,623.0,828.0,138.66666666666666,1676.3333333333333,3.766666666666666,1654.3333333333333,13.333333333333334,4.0,8.666666666666666,3.3333333333333335,282.3333333333333,16.866666666666664,1.6333333333333335,14.233333333333334,0.0,2.757287855202206,246.66666666666666,111.66666666666667,3.0,0,0,3,1,10.0,114.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0
"Kevin Joseph Menard, Jr",0.0,164.78571428571428,14,1,26265.0,18448.0,11.3,1512.0,330.0,5.3,13333.0,106.0,554.0,6478.0,5811.0,384.0,13333.0,3.5,11764.0,1442.0,5.0,127.0,4.0,2392.0,11.0,1.8,12.0,0.0,1.84905332638527,1970.0,12628.0,1.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Wilfong,0.0,196.74577702702703,1184,1,57960.09302325582,50119.95348837209,20.420930232558145,2592.3255813953488,267.3488372093023,15.582558139534875,24123.232558139534,174.0581395348837,1095.1627906976744,8823.372093023256,13548.360465116279,482.27906976744185,24123.232558139534,3.2639534883720995,23156.918604651164,546.4651162790698,5.0,419.8488372093023,4.0,1458.1279069767443,10.258139534883725,2.413953488372097,39.596511627906956,0.0,3.0681276793464813,5001.337209302325,9708.627906976744,86.0,0,0,86,1,12.887272727272727,18153.0,3.0,11.0,1.0,158.0,102.0,0.06181818181818182,275.0,1.0
Kristian Rosenvold,0.0,196.88673139158576,309,1,4246.038461538462,2738.769230769231,16.908974358974366,198.32051282051282,42.01282051282051,6.379487179487177,1878.6923076923076,4.0,435.62820512820514,716.0,653.8205128205128,69.24358974358974,1878.6923076923076,3.5615384615384595,1834.5128205128206,37.17948717948718,4.0,7.0,4.0,218.02564102564102,30.629487179487185,1.5999999999999976,19.499999999999996,0.0,3.516882650351562,70.0,400.8974358974359,78.0,0,0,78,1,14.979166666666666,2708.0,1.0,7.0,0.0,20.0,20.0,0.0,48.0,1.0
Kristopher J. Nuttycombe,0.0,222.5,2,2,6165.5,3747.0,12.5,422.0,132.0,44.1,2805.5,11.0,496.0,1291.0,967.5,40.0,2805.5,4.55,2748.0,32.5,5.0,25.0,4.0,318.0,31.049999999999997,1.5,16.799999999999997,1475.5,4.376269386485195,325.0,626.0,2.0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leo Sutic,0.0,156.0,1,1,885.0,569.0,15.0,164.0,10.0,9.8,340.0,0.0,40.0,174.0,121.0,5.0,340.0,5.2,319.0,15.0,4.0,6.0,3.0,51.0,28.5,1.7,17.4,227.0,5.12911781127862,140.0,450.0,1.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luc Maisonobe,0.0,185.01538461538462,65,1,8688.5,4830.0,14.1,418.0,100.0,6.449999999999999,3106.25,17.0,809.0,1347.0,894.25,39.0,3106.25,3.1,2956.25,138.0,5.0,12.0,4.0,441.5,30.0,1.5,19.65,0.0,3.0729069525744754,190.0,2467.0,4.0,0,0,4,1,30.580645161290324,2006.0,0.0,0.0,0.0,25.0,6.0,0.1935483870967742,31.0,1.0
Lukasz Lenart,0.0,128.4542772861357,339,1,3811.6153846153848,3295.769230769231,11.653846153846153,61.30769230769231,35.53846153846154,3.9153846153846157,1233.076923076923,49.30769230769231,61.07692307692308,749.5384615384615,355.0769230769231,18.076923076923077,1233.076923076923,4.261538461538462,1188.4615384615386,30.307692307692307,5.0,14.307692307692308,4.0,301.9230769230769,17.96923076923077,2.0615384615384618,12.76923076923077,0.0,4.173088690298284,162.69230769230768,214.46153846153845,13.0,0,0,13,1,31.155555555555555,13687.0,1.0,10.0,3.0,123.0,43.0,0.022222222222222223,180.0,1.0
Manuel L. Santillan,0.0,179.34337349397592,166,1,13909.0,14873.0,15.175,341.75,147.0,8.075,9186.25,46.25,834.0,4122.25,3904.0,279.75,9186.25,3.8,8824.75,76.0,5.0,285.5,4.0,938.75,26.775,2.125,16.8,0.0,3.73175458350851,3790.0,1275.0,4.0,0,0,4,1,15.886363636363637,2538.0,0.0,2.0,0.0,17.0,25.0,0.0,44.0,1.0
Marcel Offermans,0.0,212.83027794204614,1691,1,10341.111111111111,11242.5,14.66111111111111,250.38888888888889,109.61111111111111,7.655555555555556,6528.166666666667,37.77777777777778,563.7222222222222,2878.6111111111113,2833.8888888888887,214.16666666666666,6528.166666666667,3.672222222222222,6340.333333333333,53.72222222222222,5.0,134.11111111111111,4.0,711.1666666666666,29.883333333333333,2.1777777777777785,16.522222222222222,0.0,3.6518638421100493,1508.888888888889,898.6111111111111,18.0,0,0,18,1,21.384615384615383,1921.0,0.0,8.0,0.0,19.0,12.0,0.0,39.0,1.0
Maria Odea B. Ching,0.0,221.74285714285713,70,1,2152.3,1504.4,11.049999999999999,151.0,20.0,9.679999999999996,1307.5,0.0,82.55,533.0,583.05,108.9,1307.5,3.5099999999999993,1289.85,6.9,1.45,10.75,3.6,242.35,16.955000000000002,1.7349999999999999,13.64,0.0,2.5814675861750116,216.75,46.3,20.0,0,0,20,1,20.25862068965517,3373.0,0.0,12.0,0.0,32.0,14.0,0.0,58.0,1.0
Mario Ivankovits,0.0,254.23243883188636,2534,2,2865.31090487239,1940.8283062645012,10.491183294663582,56.11368909512761,18.986078886310906,4.065429234338743,1136.1647331786544,1.7679814385150812,75.12993039443155,669.491879350348,309.93039443155453,79.84454756380511,1136.1647331786544,3.0120649651972258,1118.155452436195,7.183294663573085,4.596287703016241,10.825986078886311,4.0,243.1740139211137,18.52529002320186,1.557540603248259,11.601856148491875,6.375870069605568,2.9877403069886186,156.5429234338747,119.91879350348027,431.0,0,0,431,2,16.06145251396648,32706.0,2.0,20.0,3.0,275.0,237.0,0.0074487895716946,537.0,1.0
Mark Emlyn David Thomas,0.0,222.3684210526316,418,2,5511.0526315789475,3893.0,15.031578947368416,583.0,198.78947368421052,65.0736842105263,3001.7894736842104,19.789473684210527,144.42105263157896,1393.6315789473683,1387.4736842105262,56.473684210526315,3001.7894736842104,6.105263157894737,2870.5789473684213,52.63157894736842,4.684210526315789,78.57894736842105,3.210526315789474,321.5263157894737,23.821052631578947,1.9473684210526319,16.79473684210527,5166.421052631579,6.2581377524417405,911.0526315789474,651.2105263157895,19.0,0,0,19,2,20.943661971830984,11353.0,1.0,6.0,0.0,68.0,67.0,0.04929577464788732,142.0,1.0
Mark R. Diggory,0.0,257.57954545454544,88,16,2201.625,1723.25,16.29318181818181,139.04545454545453,33.98863636363637,28.121590909090916,1194.0681818181818,27.78409090909091,158.4318181818182,476.53409090909093,512.0909090909091,19.227272727272727,1194.0681818181818,4.806818181818179,1161.3636363636363,18.556818181818183,3.8068181818181817,14.147727272727273,3.0681818181818183,118.1590909090909,26.46136363636364,1.8284090909090909,18.640909090909098,1269.3522727272727,4.390288688250551,191.3068181818182,170.85227272727272,88.0,0,0,88,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Thomas,0.0,194.5480386583286,1759,5,2530.3110307414104,1703.5424954792043,23.428752260397808,149.37974683544303,44.292947558770344,22.78354430379747,1582.1754068716093,6.057866184448463,150.75768535262205,448.251356238698,952.8065099457505,24.301989150090417,1582.1754068716093,3.2130198915009003,1542.3074141048824,9.39240506329114,4.44122965641953,30.475587703435806,3.2025316455696204,86.9385171790235,19.131826401446602,1.4929475587703323,28.72513562386975,52.75768535262206,4.163799124213633,461.7359855334539,143.875226039783,553.0,0,0,553,5,16.59347181008902,21135.0,3.0,26.0,3.0,124.0,181.0,0.11869436201780416,337.0,4.0
Markus Dahm,0.0,136.08631921824104,614,1,6356.355072463768,4604.260869565217,16.513768115942046,829.5144927536232,203.8695652173913,48.42971014492754,3591.050724637681,34.13768115942029,172.41304347826087,1517.0942028985507,1815.5797101449275,51.82608695652174,3591.050724637681,6.678985507246366,3462.1014492753625,70.71014492753623,5.0,58.23913043478261,4.0,367.80434782608694,47.581159420289985,2.0,17.425362318840588,12255.072463768116,6.4620968843636835,741.9565217391304,686.2391304347826,138.0,0,0,138,1,11.616,7680.0,1.0,11.0,2.0,65.0,46.0,0.08,125.0,1.0
Martin Cooper,0.0,323.54862842892766,401,4,473.66847826086956,333.8641304347826,13.90054347826086,66.26086956521739,12.266304347826088,46.9163043478261,262.95108695652175,3.516304347826087,35.91847826086956,103.3695652173913,91.82065217391305,28.32608695652174,262.95108695652175,4.433152173913043,257.1195652173913,4.108695652173913,3.967391304347826,1.7228260869565217,1.7173913043478262,28.820652173913043,35.34836956521741,1.5461956521739133,17.101086956521755,313.3152173913044,3.9971024127600003,25.652173913043477,64.97282608695652,184.0,0,0,184,4,21.375,7856.0,0.0,13.0,6.0,79.0,54.0,0.0,152.0,4.0
Martin van den Bemt,0.0,215.4090909090909,22,8,3014.157894736842,2531.1052631578946,16.47894736842105,190.73684210526315,56.526315789473685,27.59473684210526,1658.0526315789473,64.57894736842105,212.1578947368421,638.8947368421053,715.8947368421053,26.526315789473685,1658.0526315789473,4.842105263157896,1632.5263157894738,18.157894736842106,3.526315789473684,7.368421052631579,3.263157894736842,181.68421052631578,23.157894736842103,1.8421052631578945,18.30526315789474,1937.157894736842,4.0184704832913685,87.63157894736842,135.68421052631578,19.0,0,0,19,8,5.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Matt Sicker,0.0,156.0,18,1,3390.0,2265.0,26.5,88.0,31.0,5.3999999999999995,1615.0,1.0,212.0,427.0,961.0,14.0,1615.0,2.5,1556.0,7.0,4.0,52.0,4.0,104.0,17.599999999999998,1.4000000000000001,32.60000000000001,0.0,2.26421340581604,825.0,125.0,12.0,0,0,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Hawthorne,0.0,189.16666666666666,30,2,5196.7692307692305,2870.846153846154,14.792307692307695,171.76923076923077,70.3076923076923,10.36923076923077,2095.4615384615386,4.769230769230769,430.2307692307692,765.0769230769231,830.6923076923077,64.6923076923077,2095.4615384615386,3.3384615384615377,2012.3076923076924,67.92307692307692,4.461538461538462,15.23076923076923,4.0,311.0,30.199999999999992,1.5000000000000002,16.800000000000004,0.0,3.315723287840591,195.3846153846154,833.2307692307693,13.0,0,0,13,2,25.653846153846153,1335.0,0.0,1.0,1.0,16.0,8.0,0.0,26.0,2.0
Matthew Jason Benson,0.0,171.79771784232366,964,17,6359.714285714285,5712.861003861004,26.6351351351351,211.86100386100387,36.4980694980695,6.496525096525096,2658.2779922779923,16.285714285714285,154.33976833976834,946.2509652509652,1522.6833976833977,18.71814671814672,2658.2779922779923,4.04903474903477,2580.3822393822393,54.6988416988417,4.084942084942085,23.1969111969112,3.9613899613899615,226.55598455598457,17.037451737451747,2.7258687258687293,28.732432432432486,57.03861003861004,2.510059977095075,255.23166023166024,349.9111969111969,259.0,0,0,259,17,19.271844660194176,5830.0,0.0,5.0,1.0,64.0,33.0,0.0,103.0,3.0
Maurice (Mike) L. Kienenberger,0.0,193.0,1,1,26467.0,18434.0,10.9,1510.0,328.0,5.2,13526.0,106.0,552.0,6575.0,5899.0,394.0,13526.0,3.6,11956.0,1443.0,5.0,127.0,4.0,2503.0,11.1,1.8,11.5,0.0,1.78170144462279,1970.0,12658.0,1.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maurizio Cucchiara,0.0,182.3986394557823,735,1,3851.096618357488,3425.4057971014495,11.985024154589361,93.512077294686,48.45893719806763,6.314009661835752,1285.9468599033817,50.61352657004831,66.92753623188406,801.3381642512078,349.5314009661836,17.536231884057973,1285.9468599033817,4.1048309178743985,1232.5893719806763,33.53623188405797,5.0,19.82125603864734,4.0,296.3719806763285,15.128502415458897,2.1038647342995223,13.213043478260873,0.0,4.040535599168424,238.3816425120773,232.22222222222223,207.0,0,0,207,1,16.957894736842107,25109.0,2.0,13.0,2.0,242.0,121.0,0.013157894736842105,380.0,1.0
Michael Becke,0.0,169.0,3,2,1243.6666666666667,849.0,11.233333333333334,92.33333333333333,18.0,8.466666666666667,632.3333333333334,0.0,130.33333333333334,246.0,253.0,3.0,632.3333333333334,3.9666666666666663,586.0,3.0,4.0,43.333333333333336,4.0,100.66666666666667,26.366666666666664,1.7333333333333334,12.5,0.0,3.897482741112716,1000.0,74.0,3.0,0,0,3,2,4.333333333333333,289.0,0.0,0.0,1.0,1.0,4.0,0.0,6.0,2.0
